#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
-1.0,1,1.742339
-1.6,8,1.745363
2.0,6,1.755166
0.6,5,1.755166
3.8,7,1.755166
1.4,5,1.755166
1.3,2,1.755166
-1.0,1,1.755166
1.3,2,1.771187
0.2,3,1.771187
-1.0,3,1.775157
-1.4,5,1.780947
0.0,4,1.780947
-2.4,6,1.780947
-1.0,1,1.780947
0.0,4,1.79532
-0.4,18,1.808846
-1.0,3,1.812666
0.5,2,1.813702
0.1,2,1.815962
-1.5,4,1.819104
1.2,4,1.819104
0.5,2,1.819104
0.4,6,1.819104
0.1,2,1.819104
0.5,2,1.830989
-0.8,6,1.830989
1.0,11,1.843774
1.3,2,1.84721
0.6,7,1.84753
0.0,4,1.84753
-1.0,1,1.857124
-1.6,4,1.857124
1.2,12,1.857124
0.1,2,1.857124
1.0,5,1.873919
1.3,2,1.875629
-1.0,1,1.875629
0.1,2,1.877862
-1.2,4,1.880676
-0.7,10,1.889058
0.2,3,1.889058
0.4,6,1.898341
0.1,2,1.900359
0.1,2,1.900359
0.1,2,1.900359
0.5,2,1.904707
1.3,2,1.909347
-1.1,4,1.913023
0.4,4,1.913023
-1.9,4,1.913023
0.1,2,1.913023
1.2,12,1.930543
-1.0,1,1.930543
0.1,2,1.930543
-0.7,6,1.930543
-2.6,13,4.174062
1.3,2,4.189988
0.6,5,4.190902
0.2,3,4.197865
-1.2,4,4.198793
-1.0,1,4.198793
-1.0,1,4.198793
1.3,2,4.198793
-0.6,5,4.207349
2.2,7,4.212085
-0.5,3,4.212085
1.3,2,4.212085
0.7,5,4.222647
1.4,5,4.222647
1.2,8,4.222647
0.1,2,4.222647
0.5,2,4.240303
1.4,9,4.240303
1.4,17,4.254336
1.8,7,4.254336
-1.2,4,4.27009
5.2,14,4.27009
0.1,2,4.27009
-1.7,3,4.285796
-1.0,1,4.285796
-1.0,1,4.285796
-1.0,1,4.285796
1.8,15,4.301568
-0.6,3,4.310486
-1.0,1,4.31349
2.8,10,4.313874
-0.8,12,4.325502
-0.6,5,4.341215
-1.8,3,4.341215
-1.2,4,4.341215
-1.9,6,4.341215
1.0,5,4.341215
-1.0,1,4.356991
-1.0,1,4.357621
0.5,2,4.357621
1.3,2,4.357621
4.3,15,4.374109
0.2,7,4.377974
-0.4,6,4.377974
0.5,2,4.377974
0.0,6,4.389027
2.5,16,4.404742
-1.0,1,4.404742
-0.2,3,4.407464
0.5,2,4.409978
0.3,9,4.414752
-2.2,3,4.414752
0.3,5,4.42385
2.2,9,4.42385
-1.0,1,4.42385
1.3,2,4.42385
3.8,11,4.439908
-1.0,1,4.439908
-0.6,7,4.439908
-1.0,7,4.455705
1.3,2,4.455705
-2.2,3,4.455705
0.6,5,4.455705
0.0,4,4.471455
-0.6,3,4.474221
1.2,6,4.479823
0.1,2,4.479823
6.8,46,4.515428
6.4,16,4.531713
1.3,2,4.531713
0.4,4,4.540828
-0.5,3,4.543499
0.5,2,4.543499
0.0,4,4.549535
-1.0,1,4.549535
3.9,15,4.565182
0.5,2,4.565182
0.1,2,4.565182
-2.2,3,4.565182
-1.0,3,4.573667
0.6,7,4.573667
-2.2,3,4.581756
1.4,7,4.581756
0.1,2,4.590015
1.3,2,4.590015
1.3,2,4.590015
-1.0,1,4.590015
0.3,5,4.590015
0.2,5,4.590015
0.0,4,4.606995
1.4,5,4.610353
-1.0,1,4.610353
0.2,3,4.61407
2.4,10,4.618913
-0.8,6,4.629931
-0.1,5,4.629931
-1.0,1,4.629931
-1.0,1,4.629931
-1.0,1,4.629931
0.5,2,4.629931
-1.0,1,4.640257
-1.0,1,4.641624
0.5,2,4.642304
0.0,10,4.649997
-1.0,3,4.649997
1.7,6,4.649997
0.5,2,4.649997
0.5,2,4.649997
1.3,2,4.664424
2.0,10,4.664424
-1.0,1,4.673555
0.2,3,4.673555
0.5,2,4.673555
0.5,2,4.673555
1.4,5,4.681735
0.3,9,4.689805
-1.8,3,4.689805
0.5,2,4.689805
1.3,2,4.697881
1.3,2,4.698186
0.2,3,4.698186
1.2,12,4.707901
0.0,4,4.707901
0.2,5,4.722985
-0.6,3,4.722985
0.3,7,4.722985
0.5,2,4.722985
4.9,14,4.748338
0.2,3,4.748338
-0.5,3,4.748338
-0.5,7,4.762916
2.0,6,4.775757
1.3,2,4.775757
0.0,6,4.782564
-1.3,3,4.782564
0.0,6,4.79554
-1.0,1,4.796573
1.2,6,4.802829
-1.1,12,4.822206
-0.8,4,4.825221
-0.6,3,4.827227
1.3,2,4.830447
0.6,13,4.840618
0.5,2,4.843491
1.9,11,4.855879
-1.8,3,4.859899
1.4,7,4.865431
1.2,6,4.869453
1.8,5,4.873472
-1.0,1,4.873472
0.5,2,4.873472
-1.0,1,4.879405
3.0,9,4.885314
0.5,2,4.888061
5.0,13,4.895437
1.2,4,4.895437
-1.4,5,4.90833
0.8,6,4.914969
-1.0,1,4.917186
1.4,9,4.922186
1.6,8,4.927373
2.2,21,4.945442
-1.3,3,4.952101
-0.6,5,4.95934
-1.0,1,4.960757
0.2,5,4.965737
0.3,5,4.972389
0.5,2,4.974736
1.6,12,4.986664
1.6,6,4.994179
-1.0,1,4.994179
0.5,2,4.996187
0.5,2,4.996187
-0.9,7,5.00435
-1.7,3,5.008369
0.2,7,5.008369
0.5,2,5.008369
1.3,2,5.008369
0.5,2,5.020114
1.3,6,5.026142
-0.9,5,5.030159
-1.0,1,5.030159
1.3,2,5.035799
-1.0,1,5.035799
-0.4,6,5.041731
-1.3,3,5.044872
-1.0,1,5.044872
-0.2,5,5.049276
1.3,2,5.049276
1.3,2,5.049276
-1.7,3,5.049276
0.2,3,5.059407
0.5,10,5.064078
1.3,2,5.064078
7.2,20,5.083381
-1.0,1,5.083381
5.4,13,5.097465
3.4,11,5.100373
-1.0,1,5.108318
0.4,4,5.1106
-2.0,8,5.117848
-1.8,5,5.124185
0.4,8,5.124185
1.3,2,5.124185
1.3,2,5.124185
2.8,16,5.14795
-0.8,6,5.157438
-0.8,4,5.160613
0.5,2,5.160613
1.4,13,5.177242
3.4,15,5.181646
-1.0,1,5.181646
-1.0,3,5.181646
-1.3,5,5.196056
0.5,2,5.196056
0.0,6,5.196056
0.1,2,5.196056
1.0,5,5.211765
0.5,2,5.211765
6.0,22,5.233935
-1.6,4,5.237088
1.4,5,5.240236
2.0,4,5.243276
-1.8,3,5.243276
-1.0,1,5.243276
0.2,3,5.243276
-0.7,4,5.243276
0.0,6,5.258991
-1.0,1,5.258991
0.5,2,5.258991
-1.0,1,5.258991
0.5,2,5.258991
